Linux 3.19.0-39-lowlatency (flashstack-3) 	09/08/2016 	_x86_64_	(56 CPU)

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM StkSize  StkRef   cswch/s nvcswch/s  Command
 1473376889     0      3275   93.58    1.83    0.00   95.41     8      7.34      0.00 3169956   3672   0.00     136      32  11902.75   1405.50  ./build/bridge -l 8 -n 3 --proc-type=secondary -- -r 1 

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM StkSize  StkRef   cswch/s nvcswch/s  Command
 1473376890     0      3275   93.00    2.00    0.00   95.00     8      0.00      0.00 3169956   3672   0.00     136      32  11882.00   1374.00  ./build/bridge -l 8 -n 3 --proc-type=secondary -- -r 1 

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM StkSize  StkRef   cswch/s nvcswch/s  Command
 1473376891     0      3275   94.00    2.00    0.00   96.00     8      5.00      0.00 3169956   3672   0.00     136      32  11859.00   1410.00  ./build/bridge -l 8 -n 3 --proc-type=secondary -- -r 1 

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM StkSize  StkRef   cswch/s nvcswch/s  Command
 1473376892     0      3275   93.00    2.00    0.00   95.00     8      0.00      0.00 3169956   3672   0.00     136      32  11894.00   1418.00  ./build/bridge -l 8 -n 3 --proc-type=secondary -- -r 1 

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM StkSize  StkRef   cswch/s nvcswch/s  Command
 1473376893     0      3275   93.00    2.00    0.00   95.00     8      0.00      0.00 3169956   3672   0.00     136      32  11796.00   1405.00  ./build/bridge -l 8 -n 3 --proc-type=secondary -- -r 1 

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM StkSize  StkRef   cswch/s nvcswch/s  Command
 1473376894     0      3275   94.00    2.00    0.00   96.00     8      8.00      0.00 3169956   3672   0.00     136      32  11851.00   1400.00  ./build/bridge -l 8 -n 3 --proc-type=secondary -- -r 1 

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM StkSize  StkRef   cswch/s nvcswch/s  Command
 1473376895     0      3275   93.00    2.00    0.00   95.00     8      0.00      0.00 3169956   3672   0.00     136      32  11794.00   1402.00  ./build/bridge -l 8 -n 3 --proc-type=secondary -- -r 1 

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM StkSize  StkRef   cswch/s nvcswch/s  Command
