Linux 3.19.0-39-lowlatency (flashstack-3) 	09/08/2016 	_x86_64_	(56 CPU)

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM StkSize  StkRef   cswch/s nvcswch/s  Command
 1473378796     0     12966   87.16    5.50    0.00   92.66     8      0.00      0.00 3169952   3668   0.00     136      32  22290.83   1290.83  ./build/bridge -l 8 -n 3 --proc-type=secondary -- -r 1 

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM StkSize  StkRef   cswch/s nvcswch/s  Command
 1473378797     0     12966   88.00    4.00    0.00   92.00     8      9.00      0.00 3169952   3668   0.00     136      32  22317.00   1299.00  ./build/bridge -l 8 -n 3 --proc-type=secondary -- -r 1 

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM StkSize  StkRef   cswch/s nvcswch/s  Command
 1473378798     0     12966   87.00    5.00    0.00   92.00     8      0.00      0.00 3169952   3668   0.00     136      32  22380.00   1280.00  ./build/bridge -l 8 -n 3 --proc-type=secondary -- -r 1 

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM StkSize  StkRef   cswch/s nvcswch/s  Command
 1473378799     0     12966   88.00    4.00    0.00   92.00     8      5.00      0.00 3169952   3668   0.00     136      32  22361.00   1319.00  ./build/bridge -l 8 -n 3 --proc-type=secondary -- -r 1 

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM StkSize  StkRef   cswch/s nvcswch/s  Command
 1473378800     0     12966   87.00    5.00    0.00   92.00     8      0.00      0.00 3169952   3668   0.00     136      32  22388.00   1287.00  ./build/bridge -l 8 -n 3 --proc-type=secondary -- -r 1 

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM StkSize  StkRef   cswch/s nvcswch/s  Command
 1473378801     0     12966   88.00    5.00    0.00   93.00     8      0.00      0.00 3169952   3668   0.00     136      32  22356.00   1298.00  ./build/bridge -l 8 -n 3 --proc-type=secondary -- -r 1 

