Linux 3.19.0-39-lowlatency (flashstack-3) 	09/08/2016 	_x86_64_	(56 CPU)

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM StkSize  StkRef   cswch/s nvcswch/s  Command
#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM StkSize  StkRef   cswch/s nvcswch/s  Command
 1473377705     0      6638   20.00   13.00    0.00   33.00     8      0.00      0.00 3169952   3668   0.00     136      32      0.00 258746.00  ./build/bridge -l 8 -n 3 --proc-type=secondary -- -r 3 -n 14 
 1473377705     0      6643   20.00   14.00    0.00   34.00     8      5.00      0.00 3169952   3668   0.00     136      32      0.00 263457.00  ./build/forward -l 8 -n 3 --proc-type=secondary -- -r 2 -n 7 -- -d 3 
 1473377705     0      6648   32.00    1.00    0.00   33.00     8      0.00      0.00 3169952   3668   0.00     136      32      0.00  17189.00  ./build/forward -l 8 -n 3 --proc-type=secondary -- -r 1 -- -d 2 

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM StkSize  StkRef   cswch/s nvcswch/s  Command
 1473377706     0      6638   20.00   13.00    0.00   33.00     8      4.00      0.00 3169952   3668   0.00     136      32      0.00 259033.00  ./build/bridge -l 8 -n 3 --proc-type=secondary -- -r 3 -n 14 
 1473377706     0      6643   20.00   14.00    0.00   34.00     8      0.00      0.00 3169952   3668   0.00     136      32      0.00 264843.00  ./build/forward -l 8 -n 3 --proc-type=secondary -- -r 2 -n 7 -- -d 3 
 1473377706     0      6648   32.00    1.00    0.00   33.00     8      5.00      0.00 3169952   3668   0.00     136      32      0.00  17108.00  ./build/forward -l 8 -n 3 --proc-type=secondary -- -r 1 -- -d 2 

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM StkSize  StkRef   cswch/s nvcswch/s  Command
 1473377707     0      6638   22.00   11.00    0.00   33.00     8      1.00      0.00 3169952   3668   0.00     136      32      0.00 257255.00  ./build/bridge -l 8 -n 3 --proc-type=secondary -- -r 3 -n 14 
 1473377707     0      6643   21.00   12.00    0.00   33.00     8      0.00      0.00 3169952   3668   0.00     136      32      0.00 266167.00  ./build/forward -l 8 -n 3 --proc-type=secondary -- -r 2 -n 7 -- -d 3 
 1473377707     0      6648   32.00    1.00    0.00   33.00     8      0.00      0.00 3169952   3668   0.00     136      32      0.00  17116.00  ./build/forward -l 8 -n 3 --proc-type=secondary -- -r 1 -- -d 2 

#      Time   UID       PID    %usr %system  %guest    %CPU   CPU  minflt/s  majflt/s     VSZ    RSS   %MEM StkSize  StkRef   cswch/s nvcswch/s  Command
